wallet,score,wins,losses,samples,winrate,wlb,seen,last_seen_ts,last_seen_utc,blue_txs,beluga_txs,whale_score
3RRLoNT5YWAUNLBoaBsUqs9HzYXYQ1mm8basEU91XWz9,-2,3,5,8,0.375,0.13684175946152105,11,1767508052,2026-01-04T06:27:32,0,0,0.0
Tynin7Xm5Pu2GGKSmmSuQp1GBeVq6t6JpycJWQy5ovd,-2,3,5,8,0.375,0.13684175946152105,8,1767507986,2026-01-04T06:26:26,0,0,0.0
GBKF9s87zHRUF55sE4f8GQe3Z1bHjzB9RQbxMuDSHXWN,-2,3,5,8,0.375,0.13684175946152105,11,1767542129,2026-01-04T15:55:29,0,0,0.0
88ptYxT15D5AJUZMrau6ZhZBwkFxU43R7tmbTwuPusbW,-2,3,5,8,0.375,0.13684175946152105,22,1767538398,2026-01-04T14:53:18,0,2,0.0
J4nuT9kxtQgKEnsmKvacxQ8PbPtMUnsgSk8Fic2s3uky,-2,3,5,8,0.375,0.13684175946152105,16,1767563044,2026-01-04T21:44:04,0,0,0.0
GB41EzRvZBHPiJh2LJBXQKTBXfL6kEcC6dtrywhcxnmG,-2,3,5,8,0.375,0.13684175946152105,9,1767506869,2026-01-04T06:07:49,0,0,0.0
CZ1eWmtix1qFvtyDVxVz26PDqzaGSn7XBRyoVs9yCQWz,-2,3,5,8,0.375,0.13684175946152105,10,1767508798,2026-01-04T06:39:58,0,0,0.0
65Rx9QHGE2R2CTsfhw2L134KaJk42GcoD9Vnhh23Ji7L,-2,3,5,8,0.375,0.13684175946152105,18,1767563440,2026-01-04T21:50:40,0,0,0.0
5dXRK2gtNqR5pPukCWJ78jX4LfVwwoNMs7rs8ENnmmh8,-2,3,5,8,0.375,0.13684175946152105,8,1767523158,2026-01-04T10:39:18,0,0,0.0
DXUx821WPyFGwWiNUdx3anbyaYNv3tJdeaangpUV8Csc,-2,3,5,8,0.375,0.13684175946152105,12,1767508798,2026-01-04T06:39:58,0,0,0.0
5FKWxhJB63UQLqAqcY4haYBjCKRMctFVwiVnTAC7FKpj,-2,3,5,8,0.375,0.13684175946152105,35,1767563439,2026-01-04T21:50:39,0,0,0.0
4sucALJKz7UEG986G5brTUMzMbq9gfxr1GFRn6C6XsmV,-2,3,5,8,0.375,0.13684175946152105,10,1767508798,2026-01-04T06:39:58,0,0,0.0
7uQmPZffkN3tDKS7yA2KTpLGmJe9kW8FasBaCZp6Ygpk,-2,3,5,8,0.375,0.13684175946152105,11,1767497690,2026-01-04T03:34:50,0,0,0.0
Eoksg8My2g3w75Vm2gjm4MRTqKajPxo6qsZuojaqbnBc,-2,3,5,8,0.375,0.13684175946152105,10,1767508798,2026-01-04T06:39:58,0,0,0.0
GvSLpfy7dzBcnCU3uo4tqzFXmwp2ecxK276gV15fsgDH,-2,3,5,8,0.375,0.13684175946152105,9,1767508798,2026-01-04T06:39:58,0,0,0.0
6sUK1JY8768UwSz3YpUQPgUnavarpu18q4at1rCqSvxR,-2,3,5,8,0.375,0.13684175946152105,8,1767507479,2026-01-04T06:17:59,0,0,0.0
8mp76kjhfGgCyh9SXYjfkJGG8RKmUzyrKgXjAvqSqWMz,-2,3,5,8,0.375,0.13684175946152105,10,1767508118,2026-01-04T06:28:38,0,0,0.0
Ci3QaNbVJxr1ijnaoYuCxfpZQEQo48htCeL2EU9xtedZ,-2,3,5,8,0.375,0.13684175946152105,16,1767535127,2026-01-04T13:58:47,0,0,0.0
CiLjhQKSzijn3JwgTn4pAiugC9tXeH9eJNtQg98GxneG,-2,3,5,8,0.375,0.13684175946152105,11,1767537171,2026-01-04T14:32:51,0,0,0.0
HvFaY8cgYJn9fjG6Nram2yrkAx6HnLHywdR9NxRouvbU,-2,3,5,8,0.375,0.13684175946152105,10,1767508798,2026-01-04T06:39:58,0,0,0.0
Gd1cENhYCoWyjYhX6XyaQ581goqBZ2X1MDSZMs75WNe8,-2,3,5,8,0.375,0.13684175946152105,13,1767559753,2026-01-04T20:49:13,0,0,0.0
4YNsuWjDV8Q3dL41diYJ2FFAFLu4umYfHCHZwUACwzUB,-2,3,5,8,0.375,0.13684175946152105,9,1767507986,2026-01-04T06:26:26,0,0,0.0
C5ePCZpy6EaPGWu5ricgu8KmEh4dmRjJvS67g5Ck1jou,-2,3,5,8,0.375,0.13684175946152105,18,1767562458,2026-01-04T21:34:18,0,0,0.0
5pXSS8oZGawBXSajanQuR5psYSeu2tuFWvR1ofuFp9XE,-2,3,5,8,0.375,0.13684175946152105,9,1767546945,2026-01-04T17:15:45,0,0,0.0
63EsEcXaJnf5cA82mr842vCtKSm961ErkM4CY5pdTYiS,-2,3,5,8,0.375,0.13684175946152105,10,1767562264,2026-01-04T21:31:04,0,0,0.0
GJaAyCeSdEaTyR1M2USPW2zT1Qf2fz56QKpcBm8ph6yM,-2,3,5,8,0.375,0.13684175946152105,8,1767505885,2026-01-04T05:51:25,0,0,0.0
ECsXTac9xSNmwU6pwesXvvpnyyDVcdsCJRNhsANCzk1c,-4,5,9,14,0.35714285714285715,0.16344490737202735,42,1767559781,2026-01-04T20:49:41,0,0,0.0
9RGAAxfxBC4eyXpDeoHqfmf3LWoChEv6MJTPsgX1Jz2B,-4,4,7,11,0.36363636363636365,0.15166223614131386,16,1767543726,2026-01-04T16:22:06,0,0,0.0
7jMbDPre3aBuzVD17H4UEJ7yPHYcF3LHPoAnENeuGMP,-4,4,7,11,0.36363636363636365,0.15166223614131386,19,1767521861,2026-01-04T10:17:41,0,0,0.0
J5Wr6RqYjNGzFpHZWJzP7jWNbSqmQX3Qy5xoWsThsFGJ,-4,4,7,11,0.36363636363636365,0.15166223614131386,16,1767534640,2026-01-04T13:50:40,0,0,0.0
2gSqAgZH8okKUpEueXkJox655F1G2fE1fZZ2LXAQD91d,-4,4,7,11,0.36363636363636365,0.15166223614131386,17,1767508798,2026-01-04T06:39:58,0,0,0.0
JA1ECQQwZdEkLPGL1JjnHjGAMsLGrcPxrjZcfVBbaSkP,-4,4,7,11,0.36363636363636365,0.15166223614131386,13,1767521861,2026-01-04T10:17:41,0,0,0.0
6fffHuZSfUjBdsvhtGvGojHfczjCYXHsBQMpBd8PUFNc,-4,4,7,11,0.36363636363636365,0.15166223614131386,17,1767562525,2026-01-04T21:35:25,0,0,0.0
9Tn3mmGy8dJAwB3CePyrEjfy8CdLWKJR7NmWwofRUnfN,-4,4,7,11,0.36363636363636365,0.15166223614131386,19,1767546990,2026-01-04T17:16:30,0,0,0.0
14nuDtMaKmhpt5sFm4XA9dVMrX5ZrKXSnDisX4j7oDFv,-4,4,8,12,0.3333333333333333,0.13811783989736134,27,1767543734,2026-01-04T16:22:14,0,0,0.0
8h9cyeBzGXmavoUBPXpF84SqHFW1vq4BqiE17jgUmkHQ,-4,3,6,9,0.3333333333333333,0.12058159868274292,21,1767543546,2026-01-04T16:19:06,0,0,0.0
5TEyJR7AAaJiuxtni4oQ4y6xMNA5hWyMau2RPFJh27Qj,-4,3,6,9,0.3333333333333333,0.12058159868274292,67,1767563666,2026-01-04T21:54:26,0,0,0.0
6tnWjMRMss88HuAVXxrRbbS6L2LewmEg8xtR48w5mTTh,-6,5,9,14,0.35714285714285715,0.16344490737202735,17,1767508798,2026-01-04T06:39:58,0,0,0.0
CEtc9Yn2U6Kgm5wTctd6kgarHMgCsE4MRGNm9ko3k7n7,-6,5,9,14,0.35714285714285715,0.16344490737202735,17,1767534915,2026-01-04T13:55:15,0,0,0.0
2LwzkoFXDK8hZZc1NuZ5tzhXwCra5yXgwLLNqNYBcUC9,-6,5,9,14,0.35714285714285715,0.16344490737202735,29,1767534385,2026-01-04T13:46:25,0,0,0.0
72nDKYudPYwmbNoV7a2LnL32bzEcYipEu2SFTjmptayA,-6,5,9,14,0.35714285714285715,0.16344490737202735,32,1767545196,2026-01-04T16:46:36,0,0,0.0
QnXMbmMsDbAihxbL16xJxZ2br92P8Ac1zHbQ1rZEzqG,-6,5,10,15,0.3333333333333333,0.15176100694691236,119,1767563219,2026-01-04T21:46:59,0,0,0.0
